path	git_blob_sha	bytes	blocker
data/askar/SPDR_S_P_500_ETF_GMT_0_NO-DST.parquet	f31b43193724b742fe093e51f23fb8e4373677b9	242302	license_not_granted
data/askar/USA_500_Index_GMT_0_NO-DST.parquet	6492f9501c8466911fd2275ea4d4a876c3d9762c	1294980	license_not_granted
data/askar/XAUUSD_GMT_0_NO-DST.parquet	9286229ea75694a7d74b6b8397b3760154bcef09	2468755	license_not_granted
data/askar/archive/AUDUSD_GMT+0_NO-DST.parquet	c4586e7a31f56626bf4e71b765bee8f3d0419d1b	2673244	license_not_granted
data/askar/archive/China_A50_Index_GMT+0_NO-DST.parquet	409161f90b93c7d39cec005d2719efcc682d5418	715385	license_not_granted
data/askar/archive/EURGBP_GMT+0_NO-DST.parquet	ab57f0fc7e7ff9341ab7f24dafe02ecca7c40167	2527037	license_not_granted
data/askar/archive/EURUSD_GMT+0_NO-DST.parquet	8edbed6458d70dfb679e64c241c00e4c5add7783	2886640	license_not_granted
data/askar/archive/Euro_Bund_GMT+0_NO-DST.parquet	6b91a0d951ba0642447f59811ad157463e91d846	516103	license_not_granted
data/askar/archive/SPDR_Gold_Shares_ETF_GMT+0_NO-DST.parquet	3a319d43603c1920f05cc76dd7f41c44427538fe	247217	license_not_granted
data/askar/archive/Soybean_GMT+0_NO-DST.parquet	905931611b0be6e85755ef0ae345b3ac2841b47a	534627	license_not_granted
data/askar/archive/USA_500_Index_GMT+0_NO-DST.parquet	6492f9501c8466911fd2275ea4d4a876c3d9762c	1294980	license_not_granted
data/askar/archive/USDCAD_GMT+0_NO-DST.parquet	6ee4ec00b6a5dd12cdfcd81441fb06ee5392680d	2779015	license_not_granted
data/askar/archive/US_Brent_Crude_Oil_GMT+0_NO-DST.parquet	98acd564f2d5e0d535ce7043af458c0bdc064e49	1181618	license_not_granted
data/askar/archive/iShares_20+_Year_Treasury_Bond_ETF_GMT+0_NO-DST.parquet	bc6592d152974b8e6bfcd1356a323680648fd3f9	240118	license_not_granted
data/askar/archive/iShares_MSCI_Emerging_Markets_ETF_GMT+0_NO-DST.parquet	cfb89120e34bed6d4faa1212984c9c212e9a76f1	226095	license_not_granted
data/askar/archive/iShares_MSCI_Japan_ETF_GMT+0_NO-DST.parquet	2fb5cf8224deb0ada8a095a83a2a0429aa76dfaa	233377	license_not_granted
data/askar/archive/iShares_U.S._Real_Estate_ETF_GMT+0_NO-DST.parquet	8d3b753fda4c5b428778c90f6812cdcf941cb24b	243452	license_not_granted
data/askar_full/discovery_report.json	1b87998be429d2b6d991f336ec0b1973fac6e079	31638	license_not_granted
data/askar_full/panel_daily.parquet	2d3b9ae7fe9f01e723882d0116c10fc0ea7c3f54	913369	license_not_granted
data/askar_full/panel_fx_hourly.parquet	a2f027ab5bc0f95f3a8d85a81782d1d34d7d6169	4538921	license_not_granted
data/askar_full/panel_hourly.parquet	197bc3a39ce9740a2b87b5bded66a1c9c9563e82	6727491	license_not_granted
data/askar_full/panel_hourly_extended.parquet	51721156f4737c99b44d7d488d6c9a33144cf98d	6281149	license_not_granted
data/askar_full/panel_manifest.json	e0e35f394c9bec38d653e884bcd750d8989372c9	3117	license_not_granted
data/results/ofi_unity_live_dukascopy.json	297d754a25bbe2d9756ca8a85c95094b12eaa275	413	license_not_granted
data/manifests/askar-instruments-v1.json	e5e4675a9f80da52d7398aa45c6a4391a4597d5c	2158	license_not_granted
data/manifests/askar-market-panel-v1.json	8368815a1b0b398cb1f753caa62b5e5694c12c76	2523	license_not_granted
data/manifests/binance-btcusdt-depth10-v1.json	2c879a1f76bdab962f541195526af5ea10ee064f	1795	license_not_granted
